01.Licence Number,02.Current Licence Status,03.Licensee Name,04.Orig BA Code,05.Surface Location,06.Detection Date,07.Report Date,08.Report Status,09.Failure Type,10.Failure Top Depth (mKB),11.Failure Depth Bottom (mKB),12.Reported Resolution,13.Reported Resolution Date,14.Steam Scheme Type,15.Connection Type,16.Final Drill Date
 0041700,Abandoned,Cenovus Energy Inc. (A5D4),0AW4,10-22-122-03W6,"Apr 01, 1979","Apr 01, 1979",Closed,Hole,,,Well/Zone Abandoned,"Nov 30, 2002",,,"Jan 11, 1972"
 0005406,Abandoned,Imperial Oil Resources Limited (0007),0007,05-20-047-27W4,"Apr 01, 1996","May 15, 1997",Closed,Hole,779,,Casing Patch,"Aug 15, 1996",,,"Dec 08, 1952"
 0034631,Abandoned,Paramount Resources Ltd. (0AW4),0L31,14-25-115-06W6,"Apr 02, 1993","Apr 02, 1993",Closed,Hole,905,,Cement Squeeze/Plug,"Apr 05, 1993",,,"Nov 18, 2001"
 0026456,Abandoned,Cardinal Energy Ltd. (A6A7),0JL8,10-03-070-10W5,"Apr 07, 1996","Apr 06, 1997",Closed,Hole,1160,,Cement Squeeze/Plug,"May 13, 1996",,,"Aug 09, 1964"
 0010168,Abandoned,Bonterra Energy Corp. (0XZ4),0JD4,12-13-047-08W5,"Apr 08, 1999","Apr 09, 1999",Closed,Not Converted,,,Monitor As Required,,,,"Oct 23, 1955"
 0010168,Abandoned,Bonterra Energy Corp. (0XZ4),0JD4,12-13-047-08W5,"Apr 09, 1999","Mar 03, 2004",Closed,,,,Entry Error-Ignore,"Aug 21, 1999",,,"Oct 23, 1955"
 0003760,Abandoned,Imperial Oil Resources Limited (0007),0007,07-31-056-24W4,"Apr 13, 1988","Apr 13, 1988",Closed,Hole,,,Monitor As Required,,,,"Jan 07, 1952"
 0101070,Abandoned,Imperial Oil Resources Limited (0007),0007,13-07-065-03W4,"Apr 15, 1993","Apr 15, 1993",Closed,Hole,220,,Bridge Plug,"Apr 16, 1993",,,"May 12, 1983"
 0116877,Abandoned,Imperial Oil Resources Limited (0007),0007,11-28-064-03W4,"Apr 22, 1996","Apr 22, 1996",Closed,Hole,257,,Bridge Plug,"Apr 30, 1996",Cyclic Steam,,"Aug 26, 1985"
 0035272,Abandoned,J. M. Huber Corporation (0069),0069,02-36-109-05W6,"Apr 24, 1980","Apr 24, 1980",Closed,Hole,,,Cement Squeeze/Plug,,,,"Dec 17, 1968"
 0001252,Abandoned,Imperial Oil Resources Limited (0007),0007,14-06-058-21W4,"Apr 24, 1995","Apr 24, 1995",Closed,Hole,945,,Cement Squeeze/Plug,"Apr 27, 1995",,,"Mar 30, 1950"
 0004033,Abandoned,Enhance Energy Inc. (A216),0002,04-11-035-20W4,"Apr 30, 1982","Apr 30, 1982",Closed,Hole,450,,Packer,"Apr 30, 1982",,,"Mar 22, 1952"
 0010317,Abandoned,Loyal Energy (canada) Operating Ltd. (A7X9),0JT1,01-07-032-04W5,"Aug 01, 1985","Aug 01, 1985",Closed,Hole,,,Casing Patch,"Aug 23, 1985",,,"Dec 16, 1955"
 0011376,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,03-20-039-26W4,"Aug 05, 1956","Aug 05, 1956",Closed,Hole,,,Packer,"Mar 15, 1962",,,"Jul 10, 1956"
 0054475,Abandoned,Tourmaline Oil Corp. (A573),0JL8,06-04-034-03W5,"Aug 06, 1996","Aug 06, 1996",Closed,Parted,64,,Replaced Failed Casing,"Aug 08, 1996",,,"Aug 23, 1975"
 0095974,Abandoned,Strathcona Resources Ltd. (A8FG),0RA3,05-17-037-01W4,"Aug 07, 1982","Aug 07, 1982",Closed,Burst,643,,Monitor As Required,,,,"Aug 07, 1982"
 0015738,Abandoned,Ricochet Oil Corp. (A8K9),0039,06-35-049-08W5,"Aug 08, 1988","Aug 08, 1988",Closed,Hole,119,,Well/Zone Abandoned,"Dec 11, 1988",,,"Sep 04, 1958"
